Datetime,FCS_S01_B1_003,FCS_S01_B1_004,FCS_S01_B2_005,FCS_S01_B2_006,FCS_S01_B3_007,FCS_S01_B3_008,FCS_S01_B6_013,FCS_S01_B6_014,FCS_S01_B7_015,FCS_S01_B7_016,FCS_S01_F_019,FCS_S01_F_020,FCS_S01_L1_001,FCS_S01_L1_002,FCS_S01_L2_017,FCS_S01_L2_018,FCS_S02_B1_003,FCS_S02_B1_004,FCS_S02_B2_005,FCS_S02_B2_006,FCS_S02_B3_007,FCS_S02_B3_008,FCS_S02_F_019,FCS_S02_F_020,FCS_S02_L1_001,FCS_S02_L1_002,FCS_S02_L2_017,FCS_S02_L2_018,FCS_S03_B1_003,FCS_S03_B1_004,FCS_S03_B2_005,FCS_S03_B4_010,FCS_S03_B5_011,FCS_S03_B5_012,FCS_S03_B6_013,FCS_S03_B6_014,FCS_S03_B7_015,FCS_S03_B7_016,FCS_S03_F_019,FCS_S03_F_020,FCS_S03_L1_001,FCS_S03_L1_002,FCS_S04_B1_003,FCS_S04_B1_004,FCS_S04_B2_005,FCS_S04_B2_006,FCS_S04_B5_011,FCS_S04_B5_012,FCS_S04_B6_013,FCS_S04_B6_014,FCS_S04_B7_015,FCS_S04_B7_016,FCS_S04_F_019,FCS_S04_F_020,FCS_S04_L1_001,FCS_S04_L1_002,FCS_S04_L2_017,FCS_S04_L2_018,FCS_S05_B1_003,FCS_S05_B1_004,FCS_S05_B2_005,FCS_S05_B2_006,FCS_S05_B4_009,FCS_S05_B4_010,FCS_S05_B5_011,FCS_S05_B5_012,FCS_S05_B6_013,FCS_S05_B6_014,FCS_S05_L1_001,FCS_S05_L1_002,FCS_S05_L2_017,FCS_S05_L2_018
2016-06-17 21:00:00,-673.781827,192.111007,168.636511,166.707412,167.655011,180.788421,126.591094,114.083509,60.692331,76.520606,145.623538,151.006504,131.848061,209.454782,111.895942,,147.280362,136.858719,133.024413,,96.360686,124.827024,127.020662,158.278643,136.517471,170.037865,95.792272,103.482881,189.191466,92.221964,,-706.427692,126.689204,144.29033,122.848855,91.070589,123.638317,128.531089,82.272236,147.492342,106.954547,73.371997,42.991278,46.805879,146.967306,109.196787,124.716714,134.904069,152.250629,143.884597,108.500515,73.89948,49.265361,47.448418,63.6981,93.743878,81.670425,92.864516,-17.64346,-44.554667,121.155881,37.169498,62.703602,98.351077,128.05636,181.599665,125.420044,128.044845,98.254308,81.803455,62.655199,91.51164
2016-06-18 21:00:00,-673.781827,187.860053,168.636511,162.253284,167.655011,176.968681,126.591094,110.036276,,72.124878,145.623538,,131.848061,205.159839,111.895942,133.963424,147.280362,,133.024413,129.050717,96.360686,120.656712,,,136.517471,165.470808,99.277153,102.742197,,92.221964,20.672236,-703.037557,126.689204,144.29033,127.0784,95.127247,128.603538,128.531089,86.349023,147.492342,110.3635,75.024993,41.266679,,144.86945,106.801409,128.96418,139.776175,156.225651,143.884597,,77.01403,50.090447,49.005124,66.227585,90.754268,82.287542,94.237837,-19.376352,-45.40236,124.757554,39.673156,64.337701,101.456867,131.503635,181.599665,129.724199,128.044845,98.254308,85.620263,60.614729,92.291728
2016-06-19 21:00:00,-675.637273,186.159671,166.831729,160.471633,165.587404,175.440785,125.080953,108.417383,58.657253,70.366587,143.893473,145.084357,129.876244,203.441862,110.052431,132.059076,145.40512,131.496669,131.029416,127.106465,,118.988587,,,,,,,,,,,,,,,,,,,,,,,,,128.96418,143.024246,,148.151453,116.442818,77.01403,51.740618,52.118537,69.600231,86.768121,86.536792,,-17.64346,,129.259645,43.011367,68.422948,101.456867,134.950909,177.163871,132.306692,132.192602,101.603981,90.200432,64.148167,93.782492
2016-06-20 21:00:00,-678.420441,185.30948,164.124557,159.580807,,,122.815743,107.607937,55.604635,69.487441,141.298377,144.238336,126.918517,202.582874,107.287163,,142.592258,130.730662,,126.134339,91.911289,118.154524,122.012571,,132.042225,162.730574,102.047962,107.595437,189.191466,94.724729,24.778554,-697.104822,131.04871,150.188315,127.0784,99.183906,135.223834,132.617448,90.42581,152.968407,114.624693,,39.542081,41.085901,142.771594,103.607572,,142.212228,161.790683,,,78.571305,54.215875,52.896891,,86.768121,87.153909,97.222326,-17.64346,-42.859282,132.861317,44.680473,70.057047,100.680419,136.674547,177.163871,134.889185,,104.116237,90.963794,63.73754,94.56258
2016-06-21 21:00:00,-681.203609,183.609099,161.417384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.085901,140.673739,103.607572,130.663166,,161.790683,145.59134,118.031278,80.12858,55.866047,,73.816039,86.768121,87.771026,97.222326,-15.044121,-41.163898,133.761736,46.349579,72.508196,105.339104,136.674547,175.389553,135.750016,130.533499,,90.200432,63.73754,
2016-06-22 21:00:00,-681.203609,181.058527,161.417384,155.126679,159.384582,170.857096,120.550533,103.560704,,,,,,,,,,,,121.273711,,113.984211,119.007716,147.919232,,,101.619519,109.503579,191.065637,98.06175,24.778554,-692.867154,134.536314,151.030885,127.0784,100.806569,134.396297,132.617448,94.502597,152.968407,120.590362,84.11647,36.955183,37.817343,139.624811,100.413735,133.211645,144.648282,163.380692,149.004824,121.208199,80.907218,56.691132,55.23195,74.659201,82.781974,89.354359,96.746632,-15.044121,-41.163898,135.562572,46.349579,75.776394,,140.121821,173.615236,137.471678,133.851704,106.628492,92.490517,67.134102,96.847314
2016-06-23 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,127.566978,,103.947551,113.77015,194.813979,100.564516,26.421082,-689.47702,135.408215,153.558592,,100.806569,,132.617448,96.133312,156.879881,124.851555,84.942968,36.092883,38.634482,138.575883,,137.459111,144.648282,,149.004824,123.59089,82.464493,58.341304,,77.188686,83.778511,90.087843,100.325738,-13.311228,-39.468513,140.064663,48.018684,79.044592,113.10358,143.569095,172.728077,141.775833,,109.140748,94.780601,,99.173695
2016-06-24 21:00:00,-683.986778,182.758908,158.710211,156.90833,156.283171,172.384992,,,,66.850005,136.108183,,,200.005908,101.756629,128.250381,136.966533,128.432641,122.051929,123.217962,86.572013,115.652336,116.002862,149.512988,126.671929,159.99034,103.804737,114.214561,197.625235,100.564516,27.242345,-688.629486,138.023919,149.345746,129.616127,98.372574,141.84413,132.617448,95.317954,155.315291,125.703793,,36.955183,38.634482,139.624811,101.212194,137.459111,144.648282,,,122.79666,85.579043,60.816561,,78.031847,,91.903909,100.325738,,-38.620821,140.965081,50.522342,81.49574,109.99779,145.292733,173.615236,142.636664,133.851704,111.653003,97.070686,70.530664,
2016-06-25 21:00:00,-681.203609,185.30948,,159.580807,159.384582,174.676836,120.550533,,52.552018,69.487441,138.70328,144.238336,123.960791,202.582874,104.521896,131.106903,139.779396,130.730662,125.044425,126.134339,89.241651,,119.007716,151.903621,,,,,,,,,,,129.616127,93.504584,,132.617448,95.317954,155.315291,123.147078,86.595963,,39.451622,138.575883,102.010653,137.459111,144.648282,164.175697,,120.413969,85.579043,61.641647,,78.031847,84.775048,91.787543,96.984479,-12.444782,,138.263826,50.522342,79.861641,109.99779,,172.728077,138.332509,133.851704,107.465911,93.253878,69.373554,95.273255
2016-06-26 21:00:00,-680.275887,186.159671,162.319775,160.471633,160.418386,175.440785,121.305603,108.417383,53.569557,70.366587,139.568312,,124.9467,203.441862,105.443652,132.059076,140.717016,131.496669,126.041923,127.106465,90.131531,118.988587,120.009334,152.700499,130.252126,163.643985,102.633554,108.626516,191.065637,94.724729,29.706137,-692.867154,135.408215,147.660607,127.0784,92.693252,141.016593,132.617448,92.871882,154.520564,120.590362,84.11647,34.368285,38.634482,136.478027,101.212194,136.609618,146.272318,162.585688,147.298082,,84.021768,64.116904,,,83.778511,90.704959,96.865555,,-38.620821,135.562572,48.853237,76.593443,108.444895,,174.502394,135.750016,134.681256,104.116237,93.253878,,96.081108
2016-06-27 21:00:00,,187.860053,162.319775,162.253284,160.418386,176.968681,,110.036276,53.569557,72.124878,139.568312,146.776399,124.9467,205.159839,105.443652,133.963424,140.717016,,,129.050717,90.131531,120.656712,120.009334,,130.252126,165.470808,101.762333,108.039847,187.317295,93.056219,28.884873,-692.867154,,147.660607,127.0784,92.693252,136.878908,132.617448,92.871882,154.520564,118.885885,87.422461,,41.085901,136.478027,103.607572,132.362152,146.272318,162.585688,147.298082,,83.24313,64.116904,,77.188686,86.768121,88.155409,97.222326,-9.845443,-37.773128,134.662154,47.184131,76.593443,,139.260003,175.389553,132.306692,134.681256,102.4414,90.200432,68.62707,94.534814
2016-06-28 21:00:00,-678.420441,190.410625,164.124557,,162.485993,179.260525,122.815743,112.464616,55.604635,,,149.314462,,207.736805,107.287163,136.819945,,,128.03692,131.967094,91.911289,123.158899,122.012571,156.684887,132.042225,168.211043,98.563081,105.835432,186.380209,90.553453,30.5274,-694.562221,131.04871,145.975468,124.540673,92.693252,133.568761,130.982905,88.795095,,117.181408,84.942968,34.368285,40.268762,,102.809113,129.813673,146.272318,160.200674,,114.854357,80.907218,64.94199,,78.031847,,88.155409,95.373311,-8.112551,-36.077744,134.662154,45.515026,79.044592,109.221342,135.812728,174.502394,128.002537,131.36305,,87.146986,68.490194,92.180667
